method,ranker,keep_factor,rows,relaxed,budget_ok,post101_ok_after_budget,submit_relaxed,best_all_minus_e95,best_e72_gap,best_post101_p95,best_budget_all_minus_e95,best_budget_post101_p95
cell_clip,q2s3_excess,0.0,120,40,7,7,7,-1.3973425168178899e-05,2.8189256484623115e-18,-3.7623425360365733e-06,-1.0666781972479278e-05,-3.7623425360365733e-06
cell_clip,excess_per_reward,0.0,120,39,7,7,7,-1.39799635089366e-05,2.8189256484623115e-18,-3.7623425360365733e-06,-1.0666781972479278e-05,-3.7623425360365733e-06
cell_clip,low_reward_excess,0.0,120,39,7,7,7,-1.39799635089366e-05,2.8189256484623115e-18,-3.7623425360365733e-06,-1.0666781972479278e-05,-3.7623425360365733e-06
cell_clip,excess,0.0,120,39,7,7,7,-1.3973425168178899e-05,2.8189256484623115e-18,-3.7623425360365733e-06,-1.0666781972479278e-05,-3.7623425360365733e-06
cell_clip,plausible_density,0.0,120,39,7,7,7,-1.3973425168178899e-05,2.8189256484623115e-18,-3.7623425360365733e-06,-1.0666781972479278e-05,-3.7623425360365733e-06
cell_clip,excess_per_reward,0.5,120,47,0,0,0,-1.4013731048811984e-05,5.714671969903463e-05,1.8500958233300973e-06,,
cell_clip,low_reward_excess,0.5,120,47,0,0,0,-1.4013731048811984e-05,5.714671969903463e-05,1.8500958233300973e-06,,
cell_clip,q2s3_excess,0.5,120,47,0,0,0,-1.3978760279198532e-05,5.714671969903463e-05,1.8500958233300973e-06,,
cell_clip,excess_per_reward,0.25,120,46,0,0,0,-1.400207621349292e-05,2.8540529883802276e-05,-3.1127952421911365e-07,,
cell_clip,low_reward_excess,0.25,120,46,0,0,0,-1.400207621349292e-05,2.8540529883802276e-05,-3.1127952421911365e-07,,
cell_clip,plausible_density,0.5,120,46,0,0,0,-1.397763380606154e-05,5.714671969903463e-05,1.8500958233300973e-06,,
cell_clip,q2s3_excess,0.25,120,46,0,0,0,-1.3977036283585598e-05,2.8540529883802276e-05,-3.1127952421911365e-07,,
cell_clip,excess,0.5,120,46,0,0,0,-1.397555731330602e-05,5.714671969903463e-05,1.8500958233300973e-06,,
cell_clip,excess,0.25,120,46,0,0,0,-1.3975040463298782e-05,2.8540529883802276e-05,-3.1127952421911365e-07,,
cell_clip,plausible_density,0.25,120,45,0,0,0,-1.3975040463298782e-05,2.8540529883802276e-05,-3.1127952421911365e-07,,
uniform_keep,,0.9,11,4,0,0,0,-1.3025366065622102e-05,0.00010295388719219214,6.864547055642335e-06,,
uniform_keep,,0.75,11,4,0,0,0,-1.1329334543508374e-05,8.577082450637722e-05,5.641734600612268e-06,,
uniform_keep,,0.5,11,3,0,0,0,-8.267254463456553e-06,5.714671969903463e-05,3.6814884675712128e-06,,
uniform_keep,,0.25,11,1,0,0,0,-4.513085379298509e-06,2.8540529883802276e-05,3.6814884675712128e-06,,
