combo,target,base_loss,candidate_loss,delta
q1_rank,Q1,0.5746308240745168,0.5696657742774233,-0.004965049797093557
q1_rank,Q2,0.6429986926145494,0.6429986926145494,0.0
q1_rank,Q3,0.6303484889503163,0.6303484889503163,0.0
q1_rank,S1,0.47894327588040597,0.47894327588040597,0.0
q1_rank,S2,0.5389534496173579,0.5389534496173579,0.0
q1_rank,S3,0.5034376794790675,0.5034376794790675,0.0
q1_rank,S4,0.6034040622125061,0.6034040622125061,0.0
s2_rank,Q1,0.5746308240745168,0.5746308240745168,0.0
s2_rank,Q2,0.6429986926145494,0.6429986926145494,0.0
s2_rank,Q3,0.6303484889503163,0.6303484889503163,0.0
s2_rank,S1,0.47894327588040597,0.47894327588040597,0.0
s2_rank,S2,0.5389534496173579,0.534583024919902,-0.004370424697455966
s2_rank,S3,0.5034376794790675,0.5034376794790675,0.0
s2_rank,S4,0.6034040622125061,0.6034040622125061,0.0
s4_deep_rank,Q1,0.5746308240745168,0.5746308240745168,0.0
s4_deep_rank,Q2,0.6429986926145494,0.6429986926145494,0.0
s4_deep_rank,Q3,0.6303484889503163,0.6303484889503163,0.0
s4_deep_rank,S1,0.47894327588040597,0.47894327588040597,0.0
s4_deep_rank,S2,0.5389534496173579,0.5389534496173579,0.0
s4_deep_rank,S3,0.5034376794790675,0.5034376794790675,0.0
s4_deep_rank,S4,0.6034040622125061,0.6000915052948724,-0.0033125569176336578
s4_deep_z,Q1,0.5746308240745168,0.5746308240745168,0.0
s4_deep_z,Q2,0.6429986926145494,0.6429986926145494,0.0
s4_deep_z,Q3,0.6303484889503163,0.6303484889503163,0.0
s4_deep_z,S1,0.47894327588040597,0.47894327588040597,0.0
s4_deep_z,S2,0.5389534496173579,0.5389534496173579,0.0
s4_deep_z,S3,0.5034376794790675,0.5034376794790675,0.0
s4_deep_z,S4,0.6034040622125061,0.6004376057882382,-0.0029664564242678493
q1_s4_rank,Q1,0.5746308240745168,0.5696657742774233,-0.004965049797093557
q1_s4_rank,Q2,0.6429986926145494,0.6429986926145494,0.0
q1_s4_rank,Q3,0.6303484889503163,0.6303484889503163,0.0
q1_s4_rank,S1,0.47894327588040597,0.47894327588040597,0.0
q1_s4_rank,S2,0.5389534496173579,0.5389534496173579,0.0
q1_s4_rank,S3,0.5034376794790675,0.5034376794790675,0.0
q1_s4_rank,S4,0.6034040622125061,0.6000915052948724,-0.0033125569176336578
q1_s2_rank,Q1,0.5746308240745168,0.5696657742774233,-0.004965049797093557
q1_s2_rank,Q2,0.6429986926145494,0.6429986926145494,0.0
q1_s2_rank,Q3,0.6303484889503163,0.6303484889503163,0.0
q1_s2_rank,S1,0.47894327588040597,0.47894327588040597,0.0
q1_s2_rank,S2,0.5389534496173579,0.534583024919902,-0.004370424697455966
q1_s2_rank,S3,0.5034376794790675,0.5034376794790675,0.0
q1_s2_rank,S4,0.6034040622125061,0.6034040622125061,0.0
s2_s4_rank,Q1,0.5746308240745168,0.5746308240745168,0.0
s2_s4_rank,Q2,0.6429986926145494,0.6429986926145494,0.0
s2_s4_rank,Q3,0.6303484889503163,0.6303484889503163,0.0
s2_s4_rank,S1,0.47894327588040597,0.47894327588040597,0.0
s2_s4_rank,S2,0.5389534496173579,0.534583024919902,-0.004370424697455966
s2_s4_rank,S3,0.5034376794790675,0.5034376794790675,0.0
s2_s4_rank,S4,0.6034040622125061,0.6000915052948724,-0.0033125569176336578
q1_s2_s4_rank,Q1,0.5746308240745168,0.5696657742774233,-0.004965049797093557
q1_s2_s4_rank,Q2,0.6429986926145494,0.6429986926145494,0.0
q1_s2_s4_rank,Q3,0.6303484889503163,0.6303484889503163,0.0
q1_s2_s4_rank,S1,0.47894327588040597,0.47894327588040597,0.0
q1_s2_s4_rank,S2,0.5389534496173579,0.534583024919902,-0.004370424697455966
q1_s2_s4_rank,S3,0.5034376794790675,0.5034376794790675,0.0
q1_s2_s4_rank,S4,0.6034040622125061,0.6000915052948724,-0.0033125569176336578
