stage,target,before_loss,after_loss,delta,source
foldsafe_quiet_q3_s2_s3_s4,Q1,0.5943463368012365,0.5943463368012365,0.0,unchanged
foldsafe_quiet_q3_s2_s3_s4,Q2,0.6460810467560394,0.6460810467560394,0.0,unchanged
foldsafe_quiet_q3_s2_s3_s4,Q3,0.6408944834379907,0.6388414059964854,-0.002053077441505291,quiet_w23_36_screen_step_activity_start|C=0.5|w=0.45
foldsafe_quiet_q3_s2_s3_s4,S1,0.4878604983457431,0.4878604983457431,0.0,unchanged
foldsafe_quiet_q3_s2_s3_s4,S2,0.551342873615155,0.5438479519239209,-0.007494921691234113,quiet_w19_32_screen_dur|C=0.5|w=0.45
foldsafe_quiet_q3_s2_s3_s4,S3,0.5123313578078605,0.5085680981620124,-0.003763259645848116,quiet_w23_36_screen_step_hr_mean|C=0.5|w=0.45
foldsafe_quiet_q3_s2_s3_s4,S4,0.6152690935409941,0.6120548245598174,-0.0032142689811767156,quiet_w23_32_screen_dur|C=0.5|w=0.45
foldsafe_quiet_q3_s2_s3_s4,mean,0.5783036700435742,0.575942880363608,-0.0023607896799662242,target_mean
foldsafe_quiet_then_gentle_loose,Q1,0.5943463368012365,0.5943463368012365,0.0,unchanged
foldsafe_quiet_then_gentle_loose,Q2,0.6460810467560394,0.6460810467560394,0.0,unchanged
foldsafe_quiet_then_gentle_loose,Q3,0.6388414059964854,0.6388180579239122,-2.3348072573203815e-05,logit_scale1.3_shift0_w0.2
foldsafe_quiet_then_gentle_loose,S1,0.4878604983457431,0.4875953736546674,-0.00026512469107570213,logit_scale1.15_shift-0.08_w0.2
foldsafe_quiet_then_gentle_loose,S2,0.5438479519239209,0.5437256633704466,-0.00012228855347429235,logit_scale1.15_shift-0.08_w0.2
foldsafe_quiet_then_gentle_loose,S3,0.5085680981620124,0.5084002272980668,-0.00016787086394565165,logit_scale1.15_shift-0.08_w0.2
foldsafe_quiet_then_gentle_loose,S4,0.6120548245598174,0.6119390483887246,-0.00011577617109281846,logit_scale1.3_shift0_w0.2
foldsafe_quiet_then_gentle_loose,mean,0.575942880363608,0.5758436791704419,-9.920119316608744e-05,target_mean
foldsafe_quiet_then_second_loose,Q1,0.5943463368012365,0.5943463368012365,0.0,unchanged
foldsafe_quiet_then_second_loose,Q2,0.6460810467560394,0.6460810467560394,0.0,unchanged
foldsafe_quiet_then_second_loose,Q3,0.6388180579239122,0.6388009796600529,-1.707826385932698e-05,logit_scale1.15_shift-0.08_w0.2
foldsafe_quiet_then_second_loose,S1,0.4875953736546674,0.4874239449731734,-0.00017142868149400137,logit_scale1_shift-0.12_w0.2
foldsafe_quiet_then_second_loose,S2,0.5437256633704466,0.5437256633704466,0.0,unchanged
foldsafe_quiet_then_second_loose,S3,0.5084002272980668,0.5083512266332189,-4.9000664847920206e-05,subject_center_temp_p0.5_w0.3
foldsafe_quiet_then_second_loose,S4,0.6119390483887246,0.6114673345941652,-0.0004717137945593475,subject_rank_logit_p1.5_w0.3
foldsafe_quiet_then_second_loose,mean,0.5758436791704419,0.5757423618269046,-0.00010131734353724386,target_mean
