family,n,best_submit_risk_score,best_available_delta,median_edge_to_mae,median_model_improve_rate,median_anchor_tail_max,median_structural_delta,focus_count,top_file
raw_timeline_jepa_rescue,1,0.0,0.0,0.0,0.0,0.0,0.0,1,submission_raw_timeline_jepa_rescue_strict_scale0p5.csv
raw05_jepa_axisbridge,2,4.771078350180517e-05,-4.755865718242269e-06,0.014032014779454413,0.6666666666666666,2.7400976970015645e-05,0.00018041844383660002,0,submission_raw05_jepa_axisbridge_45f2ba5a.csv
unknown,905,4.771586911399563e-05,-5.977866285644673e-06,0.01216853396350459,0.6666666666666666,3.1672463941090356e-05,0.0001203567414365,0,submission_raw05_jepa_axisbridge_2f6bc887.csv
raw05_jepa_axisrepair,2,4.93140731255036e-05,-4.008121070597781e-06,0.012349089031446388,0.6666666666666666,2.9946879720021968e-05,0.00013315244767235,0,submission_raw05_jepa_axisrepair_2a20d67f.csv
raw05_jepa_directcon,2,4.9547826050344194e-05,-3.993271173174939e-06,0.012518896538588634,0.6666666666666666,3.140148000918552e-05,0.00010780869600325,2,submission_raw05_jepa_directcon_ff079802.csv
raw05_jepa_anchorrobust_graft,1,4.9981151217357654e-05,-3.9997673356717556e-06,0.012558411809201425,0.6666666666666666,3.164174150782628e-05,0.0001086579345038,1,submission_raw05_jepa_anchorrobust_graft_e40a9b92.csv
raw05_jepa_lowbadcon,2,4.9981622217028004e-05,-4.005697694875465e-06,0.012564733028571407,0.6666666666666666,3.163246158705002e-05,0.0001087776748645,2,submission_raw05_jepa_lowbadcon_71601b5f.csv
raw05_jepa_structrefine,2,4.9995705230815286e-05,-3.966112294251367e-06,0.012417610161623653,0.6666666666666666,3.171358785641898e-05,0.00010881412948015001,0,submission_raw05_jepa_structrefine_04ad10f8.csv
raw05_jepa_axistrade,2,5.024548569240106e-05,-3.785989679649937e-06,0.011829721155927283,0.6666666666666666,3.1958560389233615e-05,0.0001098053816941,0,submission_raw05_jepa_axistrade_931a03a1.csv
public6entropy,95,6.076069434620092e-05,-1.2482351517295598e-05,-0.30459678941686247,0.6666666666666666,0.0003422642136144,0.0001823878968167,2,submission_public6entropy_efmicro3_q3s4_g030_c2fe0845.csv
raw05_jepa_public6drift,160,6.427174621092055e-05,-3.734293753776541e-06,0.008287355015507113,0.6666666666666666,3.2461000654959715e-05,0.00017467502503699998,0,submission_raw05_jepa_public6drift_efmicro3_q1_s3_follow_ones_prob_bad_raw_ortho_g01200_dae06073.csv
raw05_jepa_public6q3s4corr,1,6.466998589787438e-05,-2.660247638175406e-06,0.008352607177100041,0.6666666666666666,3.344152298623282e-05,0.0001650357960544,0,submission_raw05_jepa_public6q3s4corr_efmicro5_prob_bad_raw_ord_ortho_top60_strength_g015_4050287e.csv
raw05_jepa_siggate,4,6.537754892309553e-05,-3.1956484563000487e-06,0.00995148405153987,0.6666666666666666,3.251226614314762e-05,0.00017482050861495,0,submission_raw05_jepa_siggate_6d681440.csv
raw05_jepa_efback,2,6.551419743047336e-05,-3.1253233225836397e-06,0.008649864393402191,0.6666666666666666,3.295750846987744e-05,0.00017475622148865,0,submission_raw05_jepa_efback_9c50051c.csv
raw05_jepa_efgate,2,6.552656164828422e-05,-3.106235171079774e-06,0.009022961034721493,0.6666666666666666,3.281717890551983e-05,0.00017524798628505,0,submission_raw05_jepa_efgate_d592970e.csv
raw05_jepa_blockcountreg,1,6.568766437718671e-05,-2.9953472067134612e-06,0.009404747970704437,0.6666666666666666,3.2804969138267026e-05,0.0001748906851457,0,submission_raw05_jepa_blockcountreg_50b1cf4a.csv
raw05_jepa_efmicro,6,6.630239715628953e-05,-2.5896407946923716e-06,0.0077274454992418825,0.6666666666666666,3.323847772152e-05,0.00017283021750590002,0,submission_raw05_jepa_efmicro_9f19106d.csv
raw05_jepa_siganchor,2,6.652084748203117e-05,-2.5391444415934217e-06,0.00789215834028149,0.6666666666666666,3.320771579290449e-05,0.00017308872903645,0,submission_raw05_jepa_siganchor_3644a42f.csv
raw05_jepa_energyfront,4,6.762962777466538e-05,-1.926982218236617e-06,0.005753771240356768,0.6666666666666666,3.3494782060661255e-05,0.00017378248542245,0,submission_raw05_jepa_energyfront_ea665780.csv
jepa_bridge_ensemble,1,7.917514825502246e-05,2.2699562448602606e-06,-0.007127175887853461,0.5,3.704344812160976e-05,0.0001977237774597,0,submission_jepa_bridge_ensemble_c42fbf1e.csv
jepa_bridge_posteriorreg,1,8.146769263980236e-05,2.5924026473278516e-06,-0.008139588453071687,0.5,3.780192001023863e-05,0.0002059139325413,0,submission_jepa_bridge_posteriorreg_9c5e225e.csv
jepa_public_minimax_bridge,1,8.358495282711075e-05,3.1687397303858944e-06,-0.009949163316440891,0.5,3.8264813030486344e-05,0.0002163341315989,0,submission_jepa_public_minimax_bridge_84b71a03.csv
jepa_micro_bridge_ensemble,1,8.514973516733744e-05,2.831669576708329e-06,-0.008890835308028687,0.5,4.04181252874336e-05,0.0002096396834585,0,submission_jepa_micro_bridge_ensemble_5ffa44a8.csv
jepa_block_consensus_rawcorr,1,8.561203934196609e-05,3.20220882399358e-06,-0.010054249093970359,0.5,4.317118505614559e-05,0.0002062464861258,0,submission_jepa_block_consensus_rawcorr_4fd8bab2.csv
jepa_block_consensus_rawcorr_refine,1,8.666259417232068e-05,3.166778162699835e-06,-0.009943004414503407,0.5,4.2605884191027066e-05,0.0002109768791682,0,submission_jepa_block_consensus_rawcorr_refine_d9aefe69.csv
jepa_block_consensus_rawcorr_micro,2,8.726718347467111e-05,3.3612343823818942e-06,-0.010561922879094018,0.5,4.34528332743378e-05,0.0002113207309288,0,submission_jepa_block_consensus_rawcorr_micro_fea06910.csv
jepa_block_countshift,80,0.00011232387622466085,5.4256946282471574e-06,-0.0193556479228005,0.5,4.0041742361329735e-05,0.0003690871007557,0,submission_jepa_block_countshift_a1f54938.csv
jepa_public_blockentropy,2,0.00011638641434100672,7.00366516381834e-06,-0.02501641092069588,0.5,4.204441211264065e-05,0.00035537589113714997,0,submission_jepa_public_blockentropy_countb2434_q3_s4_g000_770c0eed.csv
hybrid_0p567,1,0.00041746844861081803,9.994774686061804e-05,-0.3138144944790029,0.0,0.0003654518971607,0.0007112110578325,1,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv
