alpha,n,heldout_beats_base,heldout_tail_neutral,train_beats_base,all_beats_base,all_margin_vs_mixmin,strict_amplitude_gate,beats_alpha1_on_all,best_all_delta_vs_mixmin,best_all_minus_base,median_all_minus_base,best_heldout_minus_base,median_heldout_minus_base,best_world_support_minus_base,best_hidden_q2s3_minus_base,best_block_win_rate
0.0,155,0,0,0,0,0,0,0,-5.0817194696684e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,155,155,155,155,155,0,0,0,-5.692594330697354e-06,-1.4551838988241528e-06,-4.07440694516481e-07,-7.542679336669522e-07,-1.9686539520780144e-07,-6.120343769152616e-05,-5.500741129575021e-05,0.8888888888888888
1.0,155,155,155,155,155,0,0,0,-6.42420676377764e-06,-2.5572283548491725e-06,-7.916093541782132e-07,-1.2608162454075256e-06,-3.6888789667344213e-07,-0.00012211345714902575,-0.00010922907449463504,0.8888888888888888
1.25,155,152,152,155,155,0,0,155,-6.789903224890814e-06,-2.9709166132763087e-06,-9.750124013718775e-07,-1.4774677326023777e-06,-4.5470733844865663e-07,-0.00015255709229163874,-0.0001360448521184332,0.8888888888888888
1.5,155,150,147,155,155,0,0,155,-7.110636016660621e-06,-3.311710859876804e-06,-1.1598034218573972e-06,-1.6594297012062498e-06,-5.362380630646868e-07,-0.0001817843587301473,-0.0001626637159265476,0.8888888888888888
2.0,155,144,137,155,155,0,0,155,-7.613372198012058e-06,-3.7696888136595774e-06,-1.5064561356137318e-06,-1.843170376547576e-06,-6.86301086516572e-07,-0.00024159608914261512,-0.00021531007262298035,0.8888888888888888
3.0,155,135,118,155,155,0,0,155,-8.159451221123604e-06,-3.918754520881862e-06,-2.111446268382444e-06,-1.8579038165711381e-06,-9.331395294243094e-07,-0.00035886693253822676,-0.0003182329337493503,0.8888888888888888
4.0,155,125,102,155,155,0,0,152,-8.14335683418932e-06,-3.925040946151093e-06,-2.534085165262212e-06,-2.185086852124485e-06,-9.841569819091234e-07,-0.00047217133986116586,-0.0004179877700802234,0.8888888888888888
6.0,155,115,84,152,151,0,0,142,-8.325530696629002e-06,-4.076397306262969e-06,-2.879040541525768e-06,-2.981304441873611e-06,-8.361532094491864e-07,-0.0006926490613828106,-0.0006079546907279063,0.8888888888888888
8.0,155,92,69,148,137,0,0,131,-8.75560403890141e-06,-4.437650990674058e-06,-3.0222969341631156e-06,-3.66516967131858e-06,-4.722556664615851e-07,-0.0009119109884291601,-0.0007851352471328482,0.8888888888888888
10.0,155,76,60,137,122,0,0,117,-9.026600379824501e-06,-4.410213266359264e-06,-2.94523561272797e-06,-4.31961851199425e-06,1.289457253195181e-07,-0.0011279736288271338,-0.0009494567115809344,0.8888888888888888
12.0,155,56,49,118,113,0,0,105,-9.16676278595041e-06,-4.43549604245419e-06,-3.007214644301648e-06,-4.845897315863823e-06,1.2338303216896662e-06,-0.0013364929403374582,-0.00110084925779131,0.8888888888888888
16.0,155,40,37,101,86,0,0,83,-8.949338538566387e-06,-4.4968524933741705e-06,-1.2915749489916806e-06,-5.4851015368617695e-06,4.520408125596731e-06,-0.0017304138274952584,-0.0013645830204611978,0.8888888888888888
24.0,155,26,22,63,51,0,0,45,-9.177899956691604e-06,-4.478812732244819e-06,8.05256090485873e-06,-5.7776013351329425e-06,1.6770478186822757e-05,-0.002428025849288062,-0.0019304677206726586,0.8888888888888888
