subject_id,n,s2_prev,s2_contradiction_rate,s_others_mean
id01,41,0.5853658536585366,0.2682926829268293,0.6585365853658537
id02,48,0.9166666666666666,0.0625,0.8402777777777778
id03,33,0.5151515151515151,0.36363636363636365,0.48484848484848486
id04,57,0.7017543859649122,0.12280701754385964,0.6023391812865497
id05,44,0.25,0.20454545454545456,0.3409090909090909
id06,48,0.9166666666666666,0.08333333333333333,0.9166666666666666
id07,49,0.7142857142857143,0.12244897959183673,0.6870748299319728
id08,56,0.6071428571428571,0.19642857142857142,0.5714285714285714
id09,41,0.7804878048780488,0.14634146341463414,0.6178861788617885
id10,33,0.36363636363636365,0.24242424242424243,0.5454545454545454
