target,selected_feature_set,fold,selected_logloss,global_transport_logloss,delta_vs_global_transport,wins_global_transport
Q1,listener_view_mobility_environment_stats,0,0.7278205232067475,0.7397913160196988,-0.011970792812951325,True
Q1,listener_view_mobility_environment_stats,1,0.6959907068657102,0.6985338097646278,-0.002543102898917571,True
Q1,listener_view_mobility_environment_stats,2,0.6925793325665227,0.6978266828777329,-0.005247350311210153,True
Q1,listener_view_mobility_environment_stats,3,0.7078219745356822,0.7064286144847763,0.0013933600509058452,False
Q1,listener_view_mobility_environment_stats,4,0.6944269963756254,0.696193383452688,-0.001766387077062559,True
Q2,listener_view_calendar_rhythm_stats,0,0.6738092569060488,0.6726217179856188,0.001187538920429998,False
Q2,listener_view_calendar_rhythm_stats,1,0.6689481667393475,0.6708280372411403,-0.0018798705017927242,True
Q2,listener_view_calendar_rhythm_stats,2,0.691701650748678,0.6942640932375059,-0.002562442488827976,True
Q2,listener_view_calendar_rhythm_stats,3,0.7476611784414728,0.7508333110881998,-0.0031721326467269995,True
Q2,listener_view_calendar_rhythm_stats,4,0.6839015939317992,0.6878342149656673,-0.0039326210338681555,True
Q3,listener_view_app_social_context_probabilities,0,0.6355181519776807,0.6293417522284572,0.00617639974922346,False
Q3,listener_view_app_social_context_probabilities,1,0.7100149787554527,0.7053540444434391,0.004660934312013643,False
Q3,listener_view_app_social_context_probabilities,2,0.6962356305888027,0.7020935176318654,-0.005857887043062782,True
Q3,listener_view_app_social_context_probabilities,3,0.6780936775968731,0.6793210030666734,-0.001227325469800311,True
Q3,listener_view_app_social_context_probabilities,4,0.6756027592301852,0.6806613936158683,-0.005058634385683103,True
S1,listener_view_body_activity_sleep_stats_probabilities,0,0.5615641210485102,0.5642407979500953,-0.002676676901585129,True
S1,listener_view_body_activity_sleep_stats_probabilities,1,0.8483777598677464,0.8527624018996302,-0.004384642031883712,True
S1,listener_view_body_activity_sleep_stats_probabilities,2,0.5964790651801833,0.5994130308411142,-0.0029339656609308484,True
S1,listener_view_body_activity_sleep_stats_probabilities,3,0.5997382583989309,0.600725857999853,-0.0009875996009220955,True
S1,listener_view_body_activity_sleep_stats_probabilities,4,0.5894399637557644,0.586416999686816,0.0030229640689483084,False
S2,listener_view_calendar_rhythm_stats_probabilities,0,0.6559142983401103,0.6518993381692804,0.004014960170829918,False
S2,listener_view_calendar_rhythm_stats_probabilities,1,0.7489488470065798,0.7378568909315973,0.011091956074982479,False
S2,listener_view_calendar_rhythm_stats_probabilities,2,0.6396210381156162,0.6403837880751226,-0.0007627499595064258,True
S2,listener_view_calendar_rhythm_stats_probabilities,3,0.6798076727984241,0.677503363317273,0.0023043094811511233,False
S2,listener_view_calendar_rhythm_stats_probabilities,4,0.5648498364992468,0.5553854615195651,0.009464374979681667,False
S3,listener_view_calendar_rhythm_stats_probabilities,0,0.7628173873593909,0.773791136672084,-0.010973749312693126,True
S3,listener_view_calendar_rhythm_stats_probabilities,1,0.689617646004381,0.693792081489288,-0.004174435484906924,True
S3,listener_view_calendar_rhythm_stats_probabilities,2,0.5583259010213323,0.5714318053582239,-0.013105904336891627,True
S3,listener_view_calendar_rhythm_stats_probabilities,3,0.7129947449754497,0.7158013385914351,-0.002806593615985453,True
S3,listener_view_calendar_rhythm_stats_probabilities,4,0.5618129434768129,0.5731184581753348,-0.011305514698521923,True
S4,listener_view_calendar_rhythm_stats_probabilities,0,0.7567293011890212,0.7488801607315907,0.007849140457430459,False
S4,listener_view_calendar_rhythm_stats_probabilities,1,0.6712183312565353,0.6695518113210183,0.0016665199355170301,False
S4,listener_view_calendar_rhythm_stats_probabilities,2,0.7123115401646112,0.7145024718162378,-0.0021909316516266486,True
S4,listener_view_calendar_rhythm_stats_probabilities,3,0.6703218161607499,0.6723993673098014,-0.002077551149051504,True
S4,listener_view_calendar_rhythm_stats_probabilities,4,0.6748942779963023,0.6721568214902953,0.0027374565060069855,False
